roll_no,name,gender,city,department,semester,study_hours_per_day,sleep_hours,attendance_pct,prev_gpa,assignment_score,quiz_avg,lab_score,participation_score,stress_level,internet_hours,part_time_job,family_support,commute_hours,health_score,extracurricular,final_score,grade,final_gpa,outcome
STU-0541,Zara Malik,Female,Islamabad,Mech,4,6.2,7.9,89.3,2.33,63.5,90.0,79.7,9.0,1.6,3.3,1,8.0,0.7,9.8,0,30.6,F,0.0,Fail
STU-0542,Sara Malik,Female,Lahore,Med,8,4.4,8.4,85.8,3.11,92.6,58.9,76.2,6.8,3.3,2.0,1,8.9,0.6,8.5,1,64.0,C,2.0,At-Risk
STU-0543,Maria Hussain,Male,Peshawar,Mech,2,3.9,9.5,83.0,3.76,64.9,96.3,83.2,5.2,1.7,1.7,1,6.6,1.2,8.8,0,50.5,D,1.0,At-Risk
STU-0544,Rabia Ahmed,Female,Karachi,Mech,7,7.6,7.5,69.8,2.52,76.6,53.4,87.8,8.5,5.4,2.1,0,8.7,0.7,7.8,0,39.0,F,0.0,Fail
STU-0545,Sara Ali,Female,Peshawar,Med,1,4.7,8.1,67.1,2.83,83.3,73.8,87.7,4.2,2.1,2.9,0,6.4,0.7,5.6,1,30.0,F,0.0,Fail
STU-0546,Rabia Butt,Female,Karachi,BBA,8,6.7,8.3,74.9,3.32,69.9,74.6,78.6,7.1,2.4,3.9,0,4.8,0.2,9.1,0,47.5,F,0.0,Fail
STU-0547,Omar Ali,Male,Lahore,Civil,6,5.6,7.0,77.8,1.99,62.6,54.0,95.7,3.2,3.0,3.7,0,7.9,0.3,4.1,0,21.6,F,0.0,Fail
STU-0548,Bilal Ali,Female,Karachi,EE,4,8.3,9.1,83.7,2.48,82.0,84.1,92.7,7.3,5.5,3.1,0,9.4,1.1,5.6,1,83.7,A,4.0,Pass
STU-0549,Fatima Malik,Male,Multan,Civil,5,6.1,8.0,83.2,2.31,90.1,52.3,94.3,7.4,3.1,4.4,0,5.8,0.2,7.5,0,43.0,F,0.0,Fail
STU-0550,Rabia Sheikh,Female,Lahore,CS,6,8.9,8.7,93.1,3.26,83.0,63.5,62.3,7.9,4.6,2.8,0,8.7,0.3,7.5,1,97.4,A+,4.0,Pass
STU-0551,Ali Sheikh,Male,Karachi,CS,8,7.6,6.2,80.0,2.49,83.5,53.8,69.7,4.6,8.4,4.2,0,6.4,1.0,9.4,0,31.6,F,0.0,Fail
STU-0552,Ali Butt,Female,Islamabad,EE,7,6.5,7.4,87.5,2.78,81.8,95.4,85.0,5.8,1.5,4.7,1,6.1,1.3,5.1,1,61.7,C,2.0,At-Risk
STU-0553,Usman Iqbal,Male,Quetta,Med,7,4.6,9.7,74.8,3.51,72.3,78.0,86.9,5.3,6.0,3.0,1,6.6,0.7,9.7,0,26.4,F,0.0,Fail
STU-0554,Ali Hussain,Female,Lahore,CS,7,8.0,9.5,85.8,3.29,96.5,95.4,67.0,3.7,3.4,7.3,1,3.5,1.4,9.5,1,74.0,B,3.0,Pass
STU-0555,Hassan Ahmed,Male,Peshawar,BBA,8,6.3,7.5,83.5,2.68,92.3,86.4,81.7,2.2,2.7,3.7,0,5.9,0.5,7.6,0,62.0,C,2.0,At-Risk
STU-0556,Ahmed Malik,Male,Karachi,Mech,3,8.0,6.2,71.1,2.76,81.1,59.1,85.8,4.0,1.5,2.1,1,7.4,1.8,6.4,1,45.1,F,0.0,Fail
STU-0557,Usman Malik,Male,Karachi,Civil,2,9.3,8.8,78.5,3.22,85.8,72.1,77.3,5.0,1.4,2.0,1,6.2,0.8,3.1,1,91.3,A+,4.0,Pass
STU-0558,Maria Iqbal,Male,Lahore,Mech,1,9.2,6.4,92.0,2.62,84.1,88.9,73.6,6.3,3.0,3.2,0,7.3,2.6,8.8,1,87.8,A+,4.0,Pass
STU-0559,Sara Iqbal,Male,Multan,BBA,8,8.2,7.4,92.2,3.08,81.9,85.6,89.5,3.3,2.6,2.6,0,7.6,1.6,7.9,1,100.0,A+,4.0,Pass
STU-0560,Maria Malik,Male,Peshawar,BBA,4,5.8,9.0,79.8,3.36,95.0,70.7,90.3,4.4,2.0,6.7,0,4.9,1.6,4.0,1,52.6,D,1.0,At-Risk
STU-0561,Fatima Ahmed,Male,Islamabad,CS,5,5.3,9.4,73.8,2.83,82.7,85.5,78.9,3.9,4.0,1.8,0,8.8,1.3,8.8,1,58.1,D,1.0,At-Risk
STU-0562,Hassan Iqbal,Female,Lahore,Mech,1,2.5,8.1,89.4,3.28,89.9,94.6,93.7,6.0,4.1,4.9,0,9.4,1.8,6.0,0,50.9,D,1.0,At-Risk
STU-0563,Rabia Malik,Male,Lahore,Med,1,6.2,9.3,80.6,1.5,89.4,65.1,83.7,8.0,2.3,2.4,0,8.5,1.5,8.9,0,42.7,F,0.0,Fail
STU-0564,Omar Chaudhry,Female,Lahore,BBA,7,3.0,9.3,93.4,2.51,85.5,93.8,90.3,7.1,2.5,3.9,0,6.6,1.6,6.0,1,30.4,F,0.0,Fail
STU-0565,Ayesha Hassan,Male,Lahore,CS,6,7.1,6.3,83.1,2.14,67.5,71.8,85.9,4.5,7.6,3.0,0,8.7,3.1,5.3,0,16.7,F,0.0,Fail
STU-0566,Zara Chaudhry,Female,Lahore,EE,6,5.5,9.8,75.0,2.67,83.1,65.6,93.4,7.8,5.0,3.0,0,7.4,0.6,8.1,1,59.6,D,1.0,At-Risk
STU-0567,Tariq Malik,Male,Islamabad,EE,1,6.4,6.4,82.3,3.45,85.4,86.8,89.0,5.3,4.1,6.9,0,4.4,1.2,7.6,1,63.9,C,2.0,At-Risk
STU-0568,Imran Hussain,Male,Quetta,EE,3,6.0,9.3,81.7,2.67,82.5,73.2,68.0,4.0,5.5,3.2,0,8.5,1.8,7.9,0,44.7,F,0.0,Fail
STU-0569,Ali Malik,Male,Islamabad,CS,2,7.0,6.5,89.3,2.48,77.3,85.6,76.6,7.3,6.8,3.7,0,6.6,1.0,5.6,0,50.5,D,1.0,At-Risk
STU-0570,Ayesha Hassan,Female,Peshawar,Med,1,6.3,6.7,63.1,3.55,75.1,65.7,79.8,5.2,3.0,2.6,0,4.9,0.9,6.7,1,51.0,D,1.0,At-Risk
STU-0571,Hassan Ahmed,Male,Karachi,Mech,6,9.1,8.9,90.3,2.98,81.2,78.1,93.4,5.9,3.5,2.3,0,7.7,2.5,6.9,1,85.4,A+,4.0,Pass
STU-0572,Hina Ali,Male,Islamabad,Med,3,5.2,9.2,87.3,3.19,86.1,72.7,91.7,5.5,2.2,2.5,1,8.1,1.7,9.0,0,67.6,C+,2.5,At-Risk
STU-0573,Bilal Iqbal,Female,Islamabad,BBA,7,6.8,8.7,92.6,2.22,55.2,82.6,70.6,8.0,4.0,3.3,1,6.3,1.2,7.4,1,38.6,F,0.0,Fail
STU-0574,Ayesha Ahmed,Female,Lahore,Med,5,5.6,8.0,58.1,2.33,89.3,65.3,65.1,3.4,3.1,4.8,1,5.5,1.7,9.5,1,10.3,F,0.0,Fail
STU-0575,Usman Hassan,Male,Multan,CS,6,7.6,6.5,89.3,3.78,62.2,96.6,94.6,5.3,6.8,5.0,0,7.0,2.2,5.4,0,61.0,C,2.0,At-Risk
STU-0576,Usman Malik,Male,Karachi,Civil,2,8.1,9.2,84.9,3.52,70.0,78.1,70.9,5.3,6.6,3.5,0,5.5,0.3,9.1,0,80.2,A,4.0,Pass
STU-0577,Usman Malik,Female,Karachi,Med,3,9.8,7.0,80.0,3.52,79.3,77.2,81.3,5.2,2.9,3.8,0,7.3,0.8,5.4,0,83.8,A,4.0,Pass
STU-0578,Maria Ali,Female,Peshawar,Mech,2,2.7,8.6,87.8,1.72,73.3,69.7,67.7,2.6,1.9,5.9,1,8.1,1.6,8.8,0,0.0,F,0.0,Fail
STU-0579,Imran Chaudhry,Female,Multan,CS,6,4.8,8.6,84.7,2.44,70.9,73.1,59.5,3.9,2.9,2.7,0,5.6,1.5,8.8,1,30.8,F,0.0,Fail
STU-0580,Fatima Hussain,Male,Karachi,BBA,4,2.7,7.9,85.6,2.89,70.3,97.4,82.2,6.3,5.7,1.6,1,9.7,0.4,7.2,1,30.3,F,0.0,Fail
STU-0581,Sana Chaudhry,Male,Karachi,BBA,6,5.7,9.5,92.8,3.51,73.9,80.8,80.2,7.8,6.1,7.5,0,8.2,1.0,6.0,1,52.5,D,1.0,At-Risk
STU-0582,Maria Ahmed,Female,Karachi,Civil,3,2.4,9.2,77.4,3.19,96.7,85.2,87.5,7.6,1.6,6.6,0,6.4,1.5,6.8,1,50.1,D,1.0,At-Risk
STU-0583,Hassan Sheikh,Female,Multan,EE,5,4.1,9.3,86.3,1.64,80.4,91.6,75.8,6.4,4.1,6.2,0,9.1,1.2,4.2,0,4.9,F,0.0,Fail
STU-0584,Tariq Chaudhry,Male,Karachi,BBA,2,7.3,9.5,97.8,3.37,85.5,78.0,80.7,6.3,2.3,5.2,1,7.7,1.5,6.4,1,86.0,A+,4.0,Pass
STU-0585,Maria Sheikh,Male,Islamabad,Mech,2,4.5,9.9,87.5,2.8,62.5,43.6,80.8,5.8,2.6,7.0,1,7.1,0.1,7.8,0,34.3,F,0.0,Fail
STU-0586,Sana Hassan,Female,Karachi,Mech,2,5.7,6.9,83.9,3.37,84.2,54.3,85.2,2.5,3.0,5.1,0,7.2,0.0,6.1,0,40.9,F,0.0,Fail
STU-0587,Zara Chaudhry,Female,Multan,Mech,5,3.0,8.9,93.7,2.68,58.2,65.7,76.1,3.6,3.2,5.4,0,4.0,1.6,7.3,1,5.9,F,0.0,Fail
STU-0588,Hina Ali,Male,Lahore,EE,2,8.8,8.6,87.7,3.98,80.3,96.9,74.1,4.9,2.0,7.2,0,8.7,0.4,7.9,0,93.2,A+,4.0,Pass
STU-0589,Fatima Ali,Male,Multan,Civil,3,5.0,9.3,93.0,3.47,83.0,67.0,84.7,5.6,1.5,1.3,1,4.8,2.3,4.5,0,48.7,F,0.0,Fail
STU-0590,Usman Hassan,Male,Quetta,BBA,6,5.2,8.0,86.7,2.91,66.1,60.3,85.9,1.7,1.9,6.1,0,5.6,1.9,7.6,1,20.1,F,0.0,Fail
STU-0591,Sana Ahmed,Female,Karachi,BBA,4,7.0,7.7,76.2,3.25,82.6,60.3,79.6,8.0,3.9,3.1,0,3.7,1.3,7.3,1,71.7,B,3.0,Pass
STU-0592,Ali Butt,Female,Lahore,Civil,5,3.2,7.3,86.8,3.12,75.9,78.5,81.7,2.9,3.4,4.9,0,8.0,1.4,5.2,0,16.3,F,0.0,Fail
STU-0593,Hina Butt,Male,Karachi,BBA,8,2.7,6.9,93.5,2.83,84.7,92.4,84.8,4.3,4.2,3.1,1,7.7,1.2,9.6,0,34.5,F,0.0,Fail
STU-0594,Ahmed Ali,Female,Lahore,BBA,6,6.8,7.1,87.1,2.91,76.8,61.4,61.4,7.6,4.8,2.6,1,4.9,1.8,8.1,0,54.7,D,1.0,At-Risk
STU-0595,Hassan Hassan,Female,Peshawar,EE,8,6.0,8.7,86.5,3.49,68.1,77.7,75.8,5.9,4.4,6.3,1,8.0,0.6,4.6,1,31.9,F,0.0,Fail
STU-0596,Ayesha Ahmed,Female,Lahore,Mech,7,6.4,8.6,85.1,3.19,60.5,82.2,87.1,5.1,6.1,4.0,0,8.0,2.5,8.0,0,55.6,D,1.0,At-Risk
STU-0597,Rabia Butt,Male,Lahore,EE,8,8.2,7.1,87.1,3.14,59.8,86.7,61.8,5.8,4.2,2.6,1,3.8,0.5,7.7,1,52.0,D,1.0,At-Risk
STU-0598,Usman Sheikh,Male,Islamabad,Med,1,9.7,8.4,92.0,3.94,77.8,54.4,58.6,8.3,2.3,5.4,0,7.0,0.5,9.2,1,100.0,A+,4.0,Pass
STU-0599,Amna Malik,Male,Karachi,CS,3,8.5,7.6,82.7,3.12,89.9,77.4,60.8,6.8,4.9,2.9,0,6.3,1.5,8.3,1,71.9,B,3.0,Pass
STU-0600,Fatima Malik,Male,Lahore,Med,5,8.6,9.6,78.0,2.76,87.1,56.6,78.8,4.0,1.2,4.6,0,2.5,1.3,7.5,1,58.5,D,1.0,At-Risk
STU-0601,Faisal Iqbal,Male,Karachi,BBA,2,9.5,7.6,96.6,1.79,84.0,74.1,90.3,5.5,4.2,4.4,1,4.6,0.5,8.9,1,63.7,C,2.0,At-Risk
STU-0602,Faisal Hussain,Male,Quetta,Mech,2,7.9,5.8,88.4,3.13,52.7,53.3,75.7,6.9,7.1,3.3,1,6.1,0.6,6.9,1,36.6,F,0.0,Fail
STU-0603,Zara Sheikh,Male,Quetta,Mech,6,8.4,8.7,96.4,3.15,83.7,48.8,97.0,5.3,2.2,6.3,0,3.3,2.0,9.7,0,84.1,A,4.0,Pass
STU-0604,Fatima Malik,Male,Karachi,Med,7,6.1,5.9,72.9,2.23,59.4,64.7,65.6,2.1,4.7,4.0,0,3.2,0.1,4.8,0,0.0,F,0.0,Fail
STU-0605,Ayesha Sheikh,Female,Lahore,Med,6,7.9,7.1,81.9,2.39,73.3,86.2,91.3,3.3,1.6,4.6,1,8.3,0.6,5.6,0,55.8,D,1.0,At-Risk
STU-0606,Hina Hassan,Female,Peshawar,Mech,4,7.5,7.6,86.7,3.07,81.0,61.9,72.2,3.0,3.8,4.7,1,7.5,1.6,4.1,0,42.0,F,0.0,Fail
STU-0607,Amna Chaudhry,Female,Quetta,EE,8,3.9,6.6,79.8,3.0,87.3,50.9,63.6,4.2,3.4,4.2,1,9.0,2.4,7.8,0,9.1,F,0.0,Fail
STU-0608,Usman Iqbal,Male,Karachi,EE,3,4.8,8.0,81.8,3.6,92.4,71.3,80.8,4.4,1.6,1.8,0,4.3,1.1,5.0,0,57.0,D,1.0,At-Risk
STU-0609,Bilal Butt,Female,Lahore,Civil,7,4.9,7.5,99.0,1.96,87.2,74.9,91.5,3.7,3.6,5.7,1,7.9,1.3,8.2,1,37.6,F,0.0,Fail
STU-0610,Ahmed Malik,Female,Karachi,CS,7,4.4,6.8,90.8,2.83,68.7,56.0,89.5,3.9,5.8,2.0,1,7.6,0.7,7.1,0,18.4,F,0.0,Fail
STU-0611,Ayesha Hussain,Male,Quetta,BBA,8,6.0,8.7,91.5,3.52,97.8,82.0,78.0,4.9,4.8,3.7,0,8.1,2.1,8.9,1,89.3,A+,4.0,Pass
STU-0612,Ahmed Iqbal,Female,Islamabad,BBA,8,7.5,6.8,88.6,2.36,90.0,59.6,83.9,4.6,8.9,5.2,1,8.3,0.5,6.3,1,39.8,F,0.0,Fail
STU-0613,Imran Chaudhry,Female,Peshawar,Mech,5,4.9,7.7,87.2,3.43,67.4,48.5,82.3,3.4,7.3,3.3,1,7.7,2.0,9.0,0,27.7,F,0.0,Fail
STU-0614,Ayesha Malik,Male,Peshawar,Med,7,5.3,5.4,87.7,3.31,60.9,41.9,88.9,2.8,5.9,5.0,1,7.5,1.0,7.4,1,23.5,F,0.0,Fail
STU-0615,Omar Malik,Male,Multan,Med,8,9.0,5.4,76.6,2.86,75.7,59.4,74.7,8.5,5.2,1.3,0,7.0,1.1,5.5,1,78.5,B+,3.5,Pass
STU-0616,Bilal Chaudhry,Male,Quetta,CS,8,4.9,9.1,98.5,2.76,92.9,53.5,85.2,6.8,3.5,2.3,0,7.7,2.9,5.9,1,59.5,D,1.0,At-Risk
STU-0617,Ali Hassan,Male,Lahore,CS,2,7.0,9.0,96.5,2.59,65.6,69.1,88.9,4.8,2.5,2.4,0,7.3,0.8,7.5,0,79.3,B+,3.5,Pass
STU-0618,Ahmed Ali,Female,Quetta,Med,6,4.7,8.6,90.9,3.11,82.2,83.2,69.7,2.3,1.9,3.8,0,7.3,2.5,8.6,1,55.8,D,1.0,At-Risk
STU-0619,Bilal Chaudhry,Male,Karachi,Mech,6,5.6,6.6,89.9,3.85,87.1,82.8,93.4,6.0,2.4,2.3,0,5.3,0.8,7.6,0,75.2,B+,3.5,Pass
STU-0620,Ali Khan,Male,Islamabad,EE,2,5.9,7.6,74.9,3.52,88.5,60.2,86.9,6.9,2.3,3.0,1,6.2,2.8,6.1,1,39.0,F,0.0,Fail
STU-0621,Usman Hassan,Female,Quetta,CS,2,7.3,7.2,84.9,3.13,95.7,85.0,61.5,3.3,5.3,2.0,0,7.5,1.2,3.5,0,63.0,C,2.0,At-Risk
STU-0622,Sana Khan,Male,Islamabad,Mech,8,5.7,7.3,84.3,3.71,79.1,83.9,79.5,5.9,5.9,5.6,0,8.4,1.3,7.9,1,48.5,F,0.0,Fail
STU-0623,Ali Ali,Male,Lahore,BBA,1,5.8,7.1,89.2,3.3,99.8,62.0,92.4,5.1,2.9,7.0,0,8.9,1.8,9.0,0,63.5,C,2.0,At-Risk
STU-0624,Ali Khan,Female,Lahore,Med,2,8.3,9.5,72.7,2.49,84.4,59.8,94.5,4.1,3.2,6.0,0,8.7,0.5,8.2,1,63.5,C,2.0,At-Risk
STU-0625,Kamran Chaudhry,Female,Quetta,BBA,8,6.6,8.9,91.7,3.57,62.0,50.6,83.4,8.9,1.5,4.4,1,8.4,1.7,6.0,0,65.3,C+,2.5,At-Risk
STU-0626,Fatima Malik,Female,Islamabad,Mech,3,5.7,8.0,89.3,3.37,70.4,69.9,66.0,2.5,6.5,3.0,1,7.2,0.8,8.8,1,44.9,F,0.0,Fail
STU-0627,Nadia Malik,Female,Lahore,CS,1,6.6,7.7,81.7,3.53,80.0,81.9,77.3,5.6,4.9,1.6,1,8.9,0.6,7.0,0,55.1,D,1.0,At-Risk
STU-0628,Nadia Ahmed,Female,Karachi,Mech,1,8.4,8.6,96.0,3.91,93.2,97.9,59.6,2.5,4.8,2.6,0,8.0,1.4,8.0,0,100.0,A+,4.0,Pass
STU-0629,Bilal Chaudhry,Female,Karachi,Med,8,6.1,6.2,83.1,3.48,86.0,99.3,77.5,5.9,5.3,4.4,0,7.1,3.1,4.8,0,42.6,F,0.0,Fail
STU-0630,Maria Ahmed,Female,Lahore,CS,6,7.1,8.0,88.3,2.31,74.4,90.1,81.8,5.2,5.8,3.9,1,6.9,2.1,8.0,1,51.1,D,1.0,At-Risk
STU-0631,Sana Ali,Male,Islamabad,Civil,7,8.4,9.4,95.5,3.53,83.0,62.5,73.0,6.7,5.8,3.3,0,4.2,2.7,7.0,1,77.3,B+,3.5,Pass
STU-0632,Maria Ahmed,Female,Karachi,EE,5,6.7,7.4,75.7,2.92,78.3,66.1,83.4,7.2,1.9,4.8,0,6.7,0.4,9.4,0,64.8,C,2.0,At-Risk
STU-0633,Faisal Khan,Female,Quetta,Mech,6,8.1,6.1,95.8,2.15,88.7,51.1,83.1,5.1,2.5,3.6,1,7.9,1.3,4.7,0,65.6,C+,2.5,At-Risk
STU-0634,Faisal Sheikh,Male,Karachi,Civil,8,7.8,7.4,90.1,2.98,97.4,93.7,69.0,4.6,2.4,4.0,0,7.9,1.6,8.3,0,72.2,B,3.0,Pass
STU-0635,Tariq Iqbal,Male,Lahore,Mech,4,9.4,8.5,91.3,2.7,70.3,82.7,77.9,3.4,2.1,4.2,1,6.6,1.8,6.8,0,56.1,D,1.0,At-Risk
STU-0636,Fatima Ali,Male,Karachi,Med,1,4.7,7.6,98.4,2.23,82.9,55.4,82.2,5.4,1.4,7.6,1,4.5,0.3,5.3,0,28.6,F,0.0,Fail
STU-0637,Sana Butt,Male,Islamabad,Civil,5,8.0,8.8,96.1,3.88,84.3,85.5,69.9,3.1,5.5,5.8,0,6.6,1.1,6.9,1,76.6,B+,3.5,Pass
STU-0638,Fatima Hussain,Male,Lahore,Civil,8,9.1,6.2,98.3,3.58,65.1,61.9,76.6,1.6,3.7,3.1,0,9.3,0.4,5.8,1,89.2,A+,4.0,Pass
STU-0639,Imran Ali,Male,Lahore,Mech,1,6.4,8.0,77.3,2.59,80.5,76.2,89.2,5.0,2.7,1.3,0,4.9,0.6,7.6,1,48.4,F,0.0,Fail
STU-0640,Sara Iqbal,Female,Islamabad,Civil,4,7.0,8.7,88.1,2.31,87.3,87.6,95.7,4.4,1.8,6.5,0,8.2,2.2,6.6,1,70.2,B,3.0,Pass
STU-0641,Usman Malik,Male,Quetta,CS,7,8.4,7.1,95.9,3.28,76.8,95.1,76.5,5.3,5.5,5.2,0,8.1,2.1,5.9,0,76.7,B+,3.5,Pass
STU-0642,Rabia Ali,Female,Multan,EE,6,6.7,8.4,81.1,3.06,67.3,64.5,82.8,6.8,4.7,5.0,1,5.7,1.5,7.4,0,35.2,F,0.0,Fail
STU-0643,Imran Khan,Female,Islamabad,Civil,4,5.5,8.6,84.0,2.61,86.2,76.1,75.8,7.9,4.3,4.2,0,7.3,0.4,7.2,1,62.3,C,2.0,At-Risk
STU-0644,Zara Ahmed,Male,Karachi,EE,5,7.2,6.6,98.2,2.66,62.3,80.0,90.1,6.6,2.0,1.7,0,6.3,1.7,8.8,0,61.6,C,2.0,At-Risk
STU-0645,Nadia Chaudhry,Female,Islamabad,EE,4,7.7,8.2,80.2,2.83,92.2,79.1,79.9,6.8,3.5,2.4,1,5.3,0.9,9.1,1,70.1,B,3.0,Pass
STU-0646,Usman Sheikh,Male,Karachi,EE,1,4.8,8.3,91.9,3.81,72.3,46.5,84.8,6.8,2.9,3.7,1,7.0,1.7,6.2,1,45.0,F,0.0,Fail
STU-0647,Imran Chaudhry,Male,Lahore,Mech,8,5.8,7.7,87.5,2.36,81.5,54.5,65.5,4.5,4.8,3.2,1,5.4,0.5,8.7,1,31.4,F,0.0,Fail
STU-0648,Ahmed Hussain,Female,Islamabad,Med,3,8.2,9.8,86.9,3.32,65.9,63.6,94.6,4.3,4.8,5.3,1,6.5,3.3,7.8,0,59.1,D,1.0,At-Risk
STU-0649,Sara Hassan,Male,Islamabad,Med,7,8.5,8.0,81.9,3.03,80.8,73.9,75.6,4.8,3.2,5.4,1,8.8,0.4,9.1,1,71.8,B,3.0,Pass
STU-0650,Hassan Chaudhry,Female,Karachi,EE,4,8.0,7.7,82.8,2.72,89.6,71.2,79.4,8.1,4.4,6.4,0,7.7,0.6,8.3,0,56.8,D,1.0,At-Risk
STU-0651,Omar Iqbal,Female,Islamabad,CS,1,4.1,7.4,88.8,3.27,91.6,55.5,48.3,6.6,2.3,2.5,0,5.8,1.8,4.6,0,33.9,F,0.0,Fail
STU-0652,Amna Hassan,Male,Karachi,Civil,3,8.9,6.7,76.1,2.99,95.1,85.0,87.8,9.2,7.7,2.1,0,3.6,2.0,5.6,0,60.0,C,2.0,At-Risk
STU-0653,Bilal Malik,Male,Quetta,Med,6,7.1,8.7,87.4,3.63,56.4,88.0,87.5,7.1,6.8,3.2,0,6.0,1.0,5.3,0,60.5,C,2.0,At-Risk
STU-0654,Ali Hussain,Female,Islamabad,EE,1,8.1,9.0,86.8,2.42,70.8,70.2,95.1,5.2,4.9,2.6,0,6.6,2.6,9.4,1,56.7,D,1.0,At-Risk
STU-0655,Zara Butt,Male,Peshawar,EE,8,5.0,7.7,84.2,3.57,69.7,76.9,68.0,7.4,4.2,4.3,1,8.7,0.3,5.2,1,58.1,D,1.0,At-Risk
STU-0656,Ahmed Hussain,Male,Islamabad,EE,5,8.1,6.6,68.6,2.89,83.2,82.3,58.8,7.1,3.6,5.4,0,5.9,1.5,6.6,1,53.7,D,1.0,At-Risk
STU-0657,Fatima Ahmed,Female,Karachi,Civil,5,5.9,9.0,96.0,2.08,78.6,95.9,91.9,6.7,1.9,4.5,0,3.2,0.8,8.5,0,63.4,C,2.0,At-Risk
STU-0658,Sana Butt,Female,Karachi,Med,3,5.4,7.8,80.8,3.56,71.5,74.0,85.1,5.7,5.8,1.6,0,6.5,2.1,7.9,1,58.2,D,1.0,At-Risk
STU-0659,Imran Chaudhry,Female,Quetta,Mech,7,2.9,9.1,88.2,3.86,76.3,50.6,72.2,7.0,5.8,2.4,0,8.7,1.7,6.0,0,27.3,F,0.0,Fail
STU-0660,Amna Hassan,Female,Karachi,Med,7,4.9,9.8,89.7,3.1,88.1,53.8,83.9,3.8,6.0,4.5,0,8.8,0.8,5.6,0,59.5,D,1.0,At-Risk
STU-0661,Ayesha Iqbal,Male,Islamabad,Med,8,7.5,9.1,93.7,3.0,86.3,78.0,87.8,3.8,5.0,5.5,0,7.6,1.5,7.2,0,67.7,C+,2.5,At-Risk
STU-0662,Ahmed Butt,Male,Karachi,Mech,1,8.1,8.3,88.8,3.31,82.4,84.5,49.7,8.2,3.4,3.6,1,7.0,1.5,4.2,0,57.4,D,1.0,At-Risk
STU-0663,Tariq Iqbal,Male,Karachi,EE,2,4.1,8.5,83.7,3.02,79.2,54.7,95.9,7.4,6.6,2.6,0,7.9,2.4,6.4,1,35.2,F,0.0,Fail
STU-0664,Tariq Chaudhry,Male,Karachi,EE,7,7.3,9.0,87.5,3.92,80.1,79.1,94.8,2.4,5.1,2.3,1,5.6,1.4,8.5,0,73.8,B,3.0,Pass
STU-0665,Ali Butt,Male,Lahore,BBA,6,7.4,9.5,65.1,2.89,73.7,68.9,78.6,2.4,3.4,1.5,0,7.5,1.5,8.7,0,43.4,F,0.0,Fail
STU-0666,Fatima Ahmed,Female,Karachi,CS,7,6.2,7.4,94.7,1.94,87.3,81.4,73.8,7.6,2.7,2.4,0,7.3,3.1,7.8,0,70.3,B,3.0,Pass
STU-0667,Ayesha Hussain,Male,Islamabad,BBA,2,7.4,8.5,95.1,2.64,79.7,89.1,82.9,4.5,5.1,4.6,0,5.5,2.4,3.5,0,39.7,F,0.0,Fail
STU-0668,Faisal Butt,Male,Quetta,BBA,2,5.3,6.5,85.7,2.48,69.7,76.8,83.3,5.5,3.6,5.8,1,8.1,2.9,5.1,0,22.1,F,0.0,Fail
STU-0669,Sara Iqbal,Male,Quetta,Med,8,9.2,8.5,96.5,3.42,69.5,71.6,86.7,7.8,2.0,2.6,0,8.7,1.3,3.5,1,100.0,A+,4.0,Pass
STU-0670,Kamran Butt,Male,Quetta,Mech,5,5.6,9.7,87.2,2.72,82.7,67.3,67.7,4.3,3.9,6.4,0,7.8,1.8,8.9,1,52.6,D,1.0,At-Risk
STU-0671,Ayesha Iqbal,Male,Islamabad,Civil,6,7.4,9.9,99.1,2.78,87.7,86.0,88.9,5.9,6.1,2.5,1,2.4,0.3,7.7,1,76.4,B+,3.5,Pass
STU-0672,Ali Chaudhry,Male,Multan,BBA,3,7.4,7.7,89.2,1.9,73.7,67.9,80.6,8.1,2.2,5.2,0,7.5,2.7,8.3,1,49.7,F,0.0,Fail
STU-0673,Rabia Ahmed,Female,Lahore,CS,6,8.0,8.6,97.7,3.6,92.6,86.1,92.7,4.1,4.8,2.0,0,7.1,2.9,6.4,0,81.7,A,4.0,Pass
STU-0674,Tariq Chaudhry,Male,Karachi,Mech,1,2.0,7.7,84.1,3.37,79.9,38.7,79.0,4.2,2.4,5.1,0,7.5,0.8,8.5,1,26.6,F,0.0,Fail
STU-0675,Hina Hassan,Male,Islamabad,Mech,2,8.8,6.9,79.3,3.06,93.3,69.3,79.0,3.6,4.9,6.5,1,6.9,2.1,8.0,1,53.0,D,1.0,At-Risk
STU-0676,Maria Ahmed,Female,Islamabad,CS,3,6.4,7.6,93.1,3.8,83.5,66.9,95.9,5.0,4.3,2.0,1,9.4,0.3,5.0,1,80.8,A,4.0,Pass
STU-0677,Maria Ahmed,Male,Islamabad,EE,3,3.2,7.5,71.3,3.26,63.6,68.2,69.8,4.5,3.2,4.0,0,4.0,1.7,6.5,0,6.2,F,0.0,Fail
STU-0678,Kamran Ali,Female,Lahore,CS,7,7.4,6.6,86.8,3.23,77.0,49.6,97.2,5.5,1.8,2.0,0,7.4,0.1,8.0,1,76.4,B+,3.5,Pass
STU-0679,Bilal Malik,Male,Islamabad,Med,7,8.4,8.1,99.0,2.69,49.0,77.1,94.6,6.3,2.7,4.7,1,8.1,1.6,7.3,1,83.1,A,4.0,Pass
